
   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25
   2   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24
   3   2   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
   4   3   2   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22
   5   4   3   2   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21
   6   5   4   3   2   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20
   7   6   5   4   3   2   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19
   8   7   6   5   4   3   2   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18
   9   8   7   6   5   4   3   2   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17
  10   9   8   7   6   5   4   3   2   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16
  11  10   9   8   7   6   5   4   3   2   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
  12  11  10   9   8   7   6   5   4   3   2   1   2   3   4   5   6   7   8   9  10  11  12  13  14
  13  12  11  10   9   8   7   6   5   4   3   2   1   2   3   4   5   6   7   8   9  10  11  12  13
  14  13  12  11  10   9   8   7   6   5   4   3   2   1   2   3   4   5   6   7   8   9  10  11  12
  15  14  13  12  11  10   9   8   7   6   5   4   3   2   1   2   3   4   5   6   7   8   9  10  11
  16  15  14  13  12  11  10   9   8   7   6   5   4   3   2   1   2   3   4   5   6   7   8   9  10
  17  16  15  14  13  12  11  10   9   8   7   6   5   4   3   2   1   2   3   4   5   6   7   8   9
  18  17  16  15  14  13  12  11  10   9   8   7   6   5   4   3   2   1   2   3   4   5   6   7   8
  19  18  17  16  15  14  13  12  11  10   9   8   7   6   5   4   3   2   1   2   3   4   5   6   7
  20  19  18  17  16  15  14  13  12  11  10   9   8   7   6   5   4   3   2   1   2   3   4   5   6
  21  20  19  18  17  16  15  14  13  12  11  10   9   8   7   6   5   4   3   2   1   2   3   4   5
  22  21  20  19  18  17  16  15  14  13  12  11  10   9   8   7   6   5   4   3   2   1   2   3   4
  23  22  21  20  19  18  17  16  15  14  13  12  11  10   9   8   7   6   5   4   3   2   1   2   3
  24  23  22  21  20  19  18  17  16  15  14  13  12  11  10   9   8   7   6   5   4   3   2   1   2
  25  24  23  22  21  20  19  18  17  16  15  14  13  12  11  10   9   8   7   6   5   4   3   2   1
